,Gender,Military,Ethnicity
0,Male,N,White
1,Female,N,American Indian/Alaska Native
2,Male,N,Hispanic/Latino
3,Male,N,Asian
4,Female,N,White
5,Male,N,White
6,Female,N,White
7,Female,N,American Indian/Alaska Native
8,Female,N,White
9,Female,N,Hispanic/Latino
10,Female,Y,Black or African American
11,Female,N,Hispanic/Latino
12,Female,N,White
13,Female,N,White
14,Female,N,White
15,Female,N,White
16,Male,Y,White
17,Male,N,White
18,Male,N,Non Resident Alien
19,Male,N,White
20,Female,N,Hispanic/Latino
21,Female,N,White
22,Male,Y,White
23,Female,N,White
24,Male,N,White
25,Female,Y,White
26,Female,N,White
27,Female,N,White
28,Female,N,White
29,Female,N,Asian
30,Male,N,White
31,Female,N,White
32,Female,N,White
33,Male,N,Black or African American
34,Male,Y,White
35,Male,Y,White
36,Male,N,White
37,Male,Y,Hispanic/Latino
38,Female,N,White
39,Female,N,White
40,Male,Y,Black or African American
41,Female,N,White
42,Male,N,Hispanic/Latino
43,Female,N,Black or African American
44,Female,N,White
45,Female,N,Asian
46,Female,N,White
47,Female,N,White
48,Female,N,Black or African American
49,Female,N,White
50,Female,N,Hispanic/Latino
51,Female,N,Non Resident Alien
52,Male,N,White
53,Male,N,Hispanic/Latino
54,Male,N,Hispanic/Latino
55,Male,N,White
56,Female,N,White
57,Female,N,White
58,Male,N,White
59,Female,N,White
60,Female,N,White
61,Female,N,White
62,Female,N,White
63,Female,N,Hispanic/Latino
64,Male,N,White
65,Male,N,White
66,Male,N,American Indian/Alaska Native
67,Female,N,White
68,Female,N,White
69,Male,N,Hispanic/Latino
70,Male,Y,White
71,Female,N,White
72,Female,N,White
73,Male,N,White
74,Female,N,White
75,Male,N,Black or African American
76,Female,N,American Indian/Alaska Native
77,Female,N,Not Available
78,Female,N,White
79,Female,N,White
80,Female,N,Non Resident Alien
81,Female,N,White
82,Female,N,White
83,Female,N,White
84,Female,N,White
85,Female,Y,White
86,Female,N,White
87,Female,N,White
88,Female,N,White
89,Female,N,Black or African American
90,Female,N,White
91,Female,N,Black or African American
92,Male,N,Hispanic/Latino
93,Female,N,Hispanic/Latino
94,Female,N,White
95,Male,N,White
96,Male,N,Hispanic/Latino
97,Male,N,White
98,Female,N,White
99,Female,N,Non Resident Alien
100,Female,N,White
101,Female,N,Non Resident Alien
102,Female,N,White
103,Female,N,White
104,Female,N,White
105,Female,N,Hispanic/Latino
106,Female,N,White
107,Female,N,White
108,Female,N,White
109,Male,N,White
110,Male,Y,White
111,Female,N,White
112,Male,N,White
113,Male,N,Black or African American
114,Female,N,Hispanic/Latino
115,Male,N,White
116,Male,N,Hispanic/Latino
117,Female,N,Hispanic/Latino
118,Female,N,White
119,Female,Y,American Indian/Alaska Native
120,Female,N,Two or More Races
121,Female,N,White
122,Female,Y,Hispanic/Latino
123,Female,N,White
124,Female,N,White
125,Female,N,White
126,Female,N,American Indian/Alaska Native
127,Female,N,Hispanic/Latino
128,Male,N,White
129,Female,N,Asian
130,Female,N,White
131,Male,N,White
132,Male,N,White
133,Male,N,Hispanic/Latino
134,Female,N,American Indian/Alaska Native
135,Female,N,Hispanic/Latino
136,Female,N,Non Resident Alien
137,Female,N,Black or African American
138,Female,N,White
139,Female,N,Hispanic/Latino
140,Male,N,White
141,Female,N,White
142,Male,N,White
143,Male,N,Black or African American
144,Female,N,Two or More Races
145,Female,N,White
146,Female,N,Hispanic/Latino
147,Female,N,White
148,Female,N,Black or African American
149,Female,N,White
150,Female,N,Non Resident Alien
151,Female,N,Hispanic/Latino
152,Female,N,White
153,Female,N,Hispanic/Latino
154,Female,N,Non Resident Alien
155,Female,N,Hispanic/Latino
156,Female,N,Asian
157,Female,N,Hispanic/Latino
158,Male,Y,White
159,Female,N,White
160,Female,N,White
161,Female,N,White
162,Female,N,Hispanic/Latino
163,Male,N,White
164,Male,N,Black or African American
165,Female,N,White
166,Male,N,White
167,Male,N,Hispanic/Latino
168,Male,N,White
169,Female,N,Black or African American
170,Female,N,White
171,Female,N,White
172,Female,N,Black or African American
173,Male,Y,White
174,Male,N,White
175,Female,N,White
176,Male,N,White
177,Male,Y,Black or African American
178,Female,N,White
179,Female,N,White
180,Female,N,White
181,Female,N,White
182,Female,N,White
183,Female,N,White
184,Female,N,White
185,Female,N,White
186,Female,N,Black or African American
187,Female,N,White
188,Female,N,White
189,Male,N,Asian
190,Female,N,American Indian/Alaska Native
191,Male,Y,White
192,Female,N,White
193,Female,N,White
194,Female,N,White
195,Female,N,White
196,Female,N,White
197,Female,N,White
198,Female,N,Hispanic/Latino
199,Male,N,White
200,Female,N,Hispanic/Latino
201,Female,N,White
202,Female,N,White
203,Female,N,Asian
204,Female,N,American Indian/Alaska Native
205,Female,N,Hispanic/Latino
206,Female,N,White
207,Female,N,White
208,Male,N,White
209,Female,N,White
210,Female,N,Non Resident Alien
211,Female,N,Hispanic/Latino
212,Female,N,White
213,Female,N,White
214,Female,N,White
215,Male,N,White
216,Male,N,White
217,Female,N,White
218,Female,N,White
219,Female,N,White
220,Female,N,White
221,Male,N,Black or African American
222,Female,N,Hispanic/Latino
223,Male,N,Hispanic/Latino
224,Male,N,White
225,Male,N,Hispanic/Latino
226,Male,Y,Black or African American
227,Male,N,Hispanic/Latino
228,Female,N,Hispanic/Latino
229,Female,Y,White
230,Male,N,White
231,Female,N,White
232,Female,N,Hispanic/Latino
233,Male,N,White
234,Female,N,White
235,Male,N,White
236,Female,N,Hispanic/Latino
237,Male,N,Hispanic/Latino
238,Female,N,Hispanic/Latino
239,Male,N,White
240,Female,N,White
241,Female,N,White
242,Female,N,White
243,Female,N,White
244,Male,Y,White
245,Male,N,White
246,Female,N,White
247,Female,N,White
248,Female,N,White
249,Female,N,Hispanic/Latino
250,Female,N,White
251,Female,N,Hispanic/Latino
252,Female,N,Black or African American
253,Female,N,White
254,Female,N,Black or African American
255,Male,N,White
256,Male,N,Black or African American
257,Female,N,White
258,Female,N,White
259,Female,N,Black or African American
260,Male,N,White
261,Male,N,White
262,Female,N,White
263,Female,N,White
264,Male,N,White
265,Female,N,Hispanic/Latino
266,Male,N,Hispanic/Latino
267,Male,N,White
268,Female,N,Hispanic/Latino
269,Male,N,White
270,Male,N,White
271,Male,N,Black or African American
272,Female,N,White
273,Female,N,White
274,Male,N,White
275,Male,N,White
276,Male,N,White
277,Female,N,Hispanic/Latino
278,Female,N,Black or African American
279,Female,N,White
280,Male,Y,White
281,Male,Y,White
282,Female,N,White
283,Female,N,White
284,Male,N,White
285,Female,N,White
286,Female,N,White
287,Female,N,Asian
288,Female,N,White
289,Female,N,Asian
290,Male,N,White
291,Female,N,Hispanic/Latino
